AeroTag,CL_target,CD_target,CoP_target,ErrorMessage,RunNumber
CL_0.070_CD_0.045_CoP_0.400,0.07,0.045,0.4,Lap_Sim_constantAero_T27.m not found.,203
CL_0.080_CD_0.045_CoP_0.400,0.08,0.045,0.4,Lap_Sim_constantAero_T27.m not found.,204
CL_0.090_CD_0.045_CoP_0.400,0.09,0.045,0.4,Lap_Sim_constantAero_T27.m not found.,205
CL_0.100_CD_0.045_CoP_0.400,0.1,0.045,0.4,Lap_Sim_constantAero_T27.m not found.,206
CL_0.110_CD_0.045_CoP_0.400,0.11,0.045,0.4,Lap_Sim_constantAero_T27.m not found.,207
CL_0.120_CD_0.045_CoP_0.400,0.12,0.045,0.4,Lap_Sim_constantAero_T27.m not found.,208
CL_0.130_CD_0.045_CoP_0.400,0.13,0.045,0.4,Lap_Sim_constantAero_T27.m not found.,209
CL_0.140_CD_0.045_CoP_0.400,0.14,0.045,0.4,Lap_Sim_constantAero_T27.m not found.,210
CL_0.040_CD_0.050_CoP_0.400,0.04,0.05,0.4,Lap_Sim_constantAero_T27.m not found.,211
CL_0.050_CD_0.050_CoP_0.400,0.05,0.05,0.4,Lap_Sim_constantAero_T27.m not found.,212
CL_0.060_CD_0.050_CoP_0.400,0.06,0.05,0.4,Lap_Sim_constantAero_T27.m not found.,213
CL_0.070_CD_0.050_CoP_0.400,0.07,0.05,0.4,Lap_Sim_constantAero_T27.m not found.,214
CL_0.080_CD_0.050_CoP_0.400,0.08,0.05,0.4,Lap_Sim_constantAero_T27.m not found.,215
CL_0.090_CD_0.050_CoP_0.400,0.09,0.05,0.4,Lap_Sim_constantAero_T27.m not found.,216
CL_0.100_CD_0.050_CoP_0.400,0.1,0.05,0.4,Lap_Sim_constantAero_T27.m not found.,217
CL_0.110_CD_0.050_CoP_0.400,0.11,0.05,0.4,Lap_Sim_constantAero_T27.m not found.,218
CL_0.120_CD_0.050_CoP_0.400,0.12,0.05,0.4,Lap_Sim_constantAero_T27.m not found.,219
CL_0.130_CD_0.050_CoP_0.400,0.13,0.05,0.4,Lap_Sim_constantAero_T27.m not found.,220
CL_0.140_CD_0.050_CoP_0.400,0.14,0.05,0.4,Lap_Sim_constantAero_T27.m not found.,221
CL_0.040_CD_0.055_CoP_0.400,0.04,0.055,0.4,Lap_Sim_constantAero_T27.m not found.,222
